'A',11000001
'B',11000010
'C',11000011
'D',11000100
'E',11000101
'F',11000110
G,11000111
H,11001000
I,11001001
J,11010001
K,11010010
L,11010011
M,11010100
N,11010101
O,11010110
P,11010111
Q,11011000
R,11011001
S,11100010
T,11100011
U,11100100
V,11100101
W,11100110
X,11100111
Y,11101000
Z,11101001
0,11110000
1,11110001
2,11110010
3,11110011
4,11110100
5,11110101
6,11110110
7,11110111
8,11111000
9,11111001
 ,01000000
.,01001011
(,01001101
+,01001110
$,01011011
*,01011100
),01011101
-,01100000
/,01100001
,,01101011
=,01111110
